20130911,639,ANKARA / MAMAK - GAZİANTEP / ŞAHİNBEY - İZMİR / MENEMEN - KARABÜK / SAFRANBOLU
20130904,638,ANTALYA / MURATPAŞA - ÇANAKKALE / EZİNE - DİYARBAKIR / YENİŞEHİR
20130828,637,İSTANBUL / BAKIRKÖY - MUĞLA / FETHİYE
20130821,636,ADANA / ÇUKUROVA - ANKARA / ÇANKAYA - MERSİN / MEZİTLİ
20130814,635,İZMİR / KONAK - VAN / MERKEZ
20130807,634,ANKARA / YENİMAHALLE - OSMANİYE / MERKEZ
20130731,633,Devir
20130724,632,ANKARA / MAMAK
20130717,631,Devir
20130710,630,İSTANBUL / KADIKÖY - İZMİR / BALÇOVA
20130703,629,ANKARA / ALTINDAĞ
20130626,628,İZMİR / GAZİEMİR - MALATYA / MERKEZ
20130619,627,BURSA / OSMANGAZİ
20130612,626,İZMİR / BERGAMA - KIRKLARELİ / LÜLEBURGAZ
20130605,625,Devir
20130529,624,Devir
20130522,623,ANKARA / ETİMESGUT - BURSA / ORHANGAZİ - İSTANBUL / ARNAVUTKÖY
20130515,622,AYDIN / NAZİLLİ
20130508,621,ANKARA / ALTINDAĞ - ANKARA / YENİMAHALLE - AKSARAY / MERKEZ
20130501,620,Devir
20130424,619,ANKARA / ALTINDAĞ - BALIKESİR / BANDIRMA - İSTANBUL / EYÜP - İSTANBUL / FATİH - İSTANBUL / KADIKÖY - İSTANBUL / BÜYÜKÇEKMECE
20130417,618,Devir
20130410,617,Devir
20130403,616,ARTVİN / HOPA - İSTANBUL / AVCILAR - UŞAK / KARAHALLI
20130327,615,BURSA / GEMLİK - TRABZON / ÇARŞIBAŞI
20130320,614,ANTALYA / KUMLUCA - BOLU / MUDURNU - İSTANBUL / GAZİOSMANPAŞA - İSTANBUL / GAZİOSMANPAŞA
20130313,613,AYDIN / SÖKE
20130306,612,Devir
20130227,611,DİYARBAKIR / BAĞLAR - SAMSUN / ÇARŞAMBA
20130220,610,ANTALYA / MURATPAŞA - MUĞLA / BODRUM
20130213,609,Devir
20130206,608,İSTANBUL / BEŞİKTAŞ - İSTANBUL / KÜÇÜKÇEKMECE - İSTANBUL / AVCILAR
20130130,607,BURSA / OSMANGAZİ - İSTANBUL / BEŞİKTAŞ - KIRŞEHİR / MERKEZ
20130123,606,ANKARA / ÇANKAYA - BALIKESİR / MANYAS - İSTANBUL / GAZİOSMANPAŞA - İSTANBUL / BEYLİKDÜZÜ - İZMİR / BALÇOVA
20130116,605,İZMİR / KONAK
20130109,604,MERSİN / TOROSLAR
20130102,603,Devir
20121226,602,İZMİR / BORNOVA
20121219,601,AFYONKARAHİSAR / MERKEZ - İSTANBUL / BAHÇELİEVLER
20121212,600,Devir
20121205,599,ANKARA / YENİMAHALLE - İSTANBUL / BAYRAMPAŞA - İSTANBUL / ARNAVUTKÖY
20121128,598,ANKARA / ETİMESGUT - İSTANBUL / BEYKOZ - İSTANBUL / FATİH - İSTANBUL / ŞİŞLİ
20121121,597,Devir
20121114,596,İSTANBUL / BEŞİKTAŞ - MUĞLA / BODRUM
20121107,595,BURSA / İNEGÖL - İSTANBUL / ŞİŞLİ
20121031,594,ANTALYA / MURATPAŞA - HATAY / İSKENDERUN - İSTANBUL / FATİH - İZMİR / KARABAĞLAR - KONYA / EREĞLİ
20121024,593,ADANA / YÜREĞİR
20121017,592,ANKARA / ÇANKAYA - EDİRNE / UZUNKÖPRÜ - YALOVA / MERKEZ
20121010,591,ANKARA / SİNCAN - ESKİŞEHİR / ODUNPAZARI
20121003,590,ANTALYA / ALANYA - İSTANBUL / KÜÇÜKÇEKMECE
20120926,589,ANKARA / ALTINDAĞ
20120919,588,Devir
20120912,587,ANKARA / ETİMESGUT
20120905,586,Devir
20120829,585,Yok
20120822,584,Yok
20120815,583,ANKARA / ALTINDAĞ - ANKARA / GÖLBAŞI - ANKARA / KEÇİÖREN
20120808,582,Devir
20120801,581,Devir
20120725,580,Devir
20120718,579,Devir
20120711,578,Devir
20120704,577,ERZURUM / YAKUTİYE - İSTANBUL / FATİH - İSTANBUL / ÜSKÜDAR - İZMİR / KONAK
20120627,576,ANKARA / ÇANKAYA - İSTANBUL / FATİH - İSTANBUL / ESENYURT
20120620,575,İZMİR / BORNOVA
20120613,574,BALIKESİR / MERKEZ - BURSA / İNEGÖL - İZMİR / KONAK
20120606,573,Yok
20120530,572,Devir
20120523,571,Yok
20120516,570,ANTALYA / MURATPAŞA - İSTANBUL / AVCILAR - SAMSUN / İLKADIM
20120509,569,Yok
20120502,568,Devir
20120425,567,Devir
20120418,566,KIRŞEHİR / MERKEZ - MANİSA / AKHİSAR
20120411,565,İSTANBUL / TUZLA
20120404,564,AFYONKARAHİSAR / ÇAY - ANKARA / ÇANKAYA
20120328,563,EDİRNE / İPSALA - İSTANBUL / ŞİŞLİ - İSTANBUL / PENDİK
20120321,562,MERSİN / AKDENİZ - İSTANBUL / KAĞITHANE - SAMSUN / İLKADIM
20120314,561,Devir
20120307,560,ANKARA / YENİMAHALLE
20120229,559,Yok
20120222,558,ÇANAKKALE / GELİBOLU - MANİSA / MERKEZ - MUĞLA / MARMARİS - TEKİRDAĞ / MURATLI - OSMANİYE / MERKEZ
20120215,557,ADANA / SEYHAN - ANTALYA / FİNİKE - İSTANBUL / SARIYER
20120208,556,Devir
20120201,555,İSTANBUL / BAKIRKÖY - KOCAELİ / DERİNCE
20120125,554,BALIKESİR / GÖNEN
20120118,553,AYDIN / YENİPAZAR
20120111,552,Devir
20120104,551,AYDIN / İNCİRLİOVA - İSTANBUL / KADIKÖY - SAMSUN / TERME
20111228,550,Devir
20111221,549,Yok
20111214,548,Yok
20111207,547,Yok
20111130,546,Yok
20111123,545,Yok
20111116,544,Yok
20111109,543,Yok
20111102,542,Yok
20111026,541,Yok
20111019,540,Yok
20111012,539,Yok
20111005,538,Yok
20110928,537,Yok
20110921,536,Yok
20110914,535,Yok
